,bio,followers,following,img_url,is_verified,name,source,text,time,tweet_id,user_location,username
84,Indian,76,False,http://pbs.twimg.com/profile_images/1062600813229555712/q6JqINl5_normal.jpg,False,Blood Brain Beer,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @BBCHindi: लोकसभा चुनाव 2019: पश्चिम बंगाल में बीजेपी के लिए कितनी संभावना https://t.co/3AKlU0dVfQ,Tue Mar 12 15:03:38 +0000 2019,1105484499423514625,India,BloodBrainBeer1
85,"Dogra from Jammu, British Hindu, love travelling, keen interest in current affairs",556,False,http://pbs.twimg.com/profile_images/1086547915294887936/9t5oOS9V_normal.jpg,False,RAJ DOGRA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @sgurumurthy: Modi's Make in India just saved Rs 1 lakh crore in defence sector. Here's how - Mail Today News https://t.co/dmhimreNIU,Tue Mar 12 15:03:38 +0000 2019,1105484498639179776,,uk_rajeev
86,,155,False,http://pbs.twimg.com/profile_images/1100505380344475650/p7VP9jCj_normal.jpg,False,Umar Farooq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BhavikaKapoor5: After Independence from smallest needle to Mangalyaan rocket everything in India has been built by @INCIndia and BJP al…,Tue Mar 12 15:03:37 +0000 2019,1105484498345570304,,UmarFar06316589
87,Student is the power of INDIA . support Narendra Modi because modi is best comparision other Politician In India.,121,False,http://pbs.twimg.com/profile_images/1024615574930841601/DurCgnLk_normal.jpg,False,Shivamraj,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Republic_Bharat: #JiVersusJi | राहुल गांधी पर BJP का प्रहार, 'शहीदों का अपमान और आतंकियों का सम्मान.. यही है कांग्रेस की पहचान' https:/…",Tue Mar 12 15:03:37 +0000 2019,1105484498072887296,"Prayagraj,Uttar Pradesh, India",Shivamr66978825
88,Intellectual. feminist. secular. Activist. Liberal. humorist. satirist. suffering from dementia. None of these.,484,False,http://pbs.twimg.com/profile_images/641941659349970944/Oxb-iQRz_normal.jpg,False,Satan,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LawrenceSellin: Pakistan PM Imran Khan has threatened to hit India with “aggressive” action, hinting at the full weight of its nuclear…",Tue Mar 12 15:03:37 +0000 2019,1105484497519144960,New Delhi ,Scentofawoman10
89,"Devote of Nehru family, Eminent Distortionist, Raving Marxist, Author of Hindus are the root cause of all evil",1085,False,http://pbs.twimg.com/profile_images/680613973465645056/cjoM57_7_normal.jpg,False,Office of RG ( ರಾವಣನ ಕಚೇರಿ ),"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @Chellaney: India's drive for listing Masood Azhar as a terrorist at tomorrow's Security Council 1267 Committee meeting betrays an overe…,Tue Mar 12 15:03:37 +0000 2019,1105484496735006720,Lankapura,Ravan_Guha
90,99 करोड़ उपेक्षित  मगर सम्मानित भारतीय नागरिको के लिए सोच,11,False,http://pbs.twimg.com/profile_images/3356555395/e35c3851ff6e718fbabe8a9a98f8afa6_normal.jpeg,False,Pradyumna Singh,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @abpnewstv: The new style craze among young men is not from a film hero but from the real-life hero Wing Commander Abhinandan. Many men…,Tue Mar 12 15:03:37 +0000 2019,1105484495363301376,,pradyumna99
91,Washed up glide player,39,False,http://pbs.twimg.com/profile_images/1087030077840334849/L_JNJ81A_normal.jpg,False,Da Wazza Beast,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @subgap: TSERIES IS PAYING PEOPLE TO PROMO THEM ON TWITTER. TON OF TWEETS FROM VERIFIED ACCOUNTS SAYING SOME VARIATION OF :

""Pewdiepie…",Tue Mar 12 15:03:37 +0000 2019,1105484495162171393,James ur fat,DaWazzaBeast
92,The official twitter page for Domino's Pizza India,162532,False,http://pbs.twimg.com/profile_images/1074660192883621888/XRjWNq8A_normal.jpg,True,Domino's Pizza India,"<a href=""https://www.onedirect.in/"" rel=""nofollow"">OneDirect Suite</a>",@pankajlalwani_ ^_^,Tue Mar 12 15:03:36 +0000 2019,1105484492578336768,India,dominos_india
93,मराठा,187,False,http://pbs.twimg.com/profile_images/1030369574426824704/p72IJDPs_normal.jpg,False,Abhishek Patil,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @abpmajhatv: मोदींनी मोठ्या उद्योजकांची कर्ज माफ केली, शेतकरी आणि छोट्या व्यापाऱ्यांना देशोधडीला लावलं : राहुल गांधी
#RahulGandhi #Priya…",Tue Mar 12 15:03:36 +0000 2019,1105484492389543936,,iAbhishekPatil
94,"Adventurous, foodie couple who love to dine out, drink wine 🍷and travel. ✈
📷 Travel & food bloggers
https://t.co/t7FK4XqWZ4",496,False,http://pbs.twimg.com/profile_images/875584336828833795/5gYWHZ8j_normal.jpg,False,Vagabond Stories,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Things To Do In Jaipur – Top Experiences In The Pink City https://t.co/KB2wEsW7xz https://t.co/0ykz3axLbV,Tue Mar 12 15:03:36 +0000 2019,1105484491886223360,"New Delhi, India",VagabondStories
95,"India Tides is an Indian News Portal live since 2017 offering genuine live news, technology, lifestyle, entertainment, food and recipes, Health and Fitness,",95,False,http://pbs.twimg.com/profile_images/939385008212471809/-tkRdrv9_normal.jpg,False,India Tides,"<a href=""https://www.indiatides.com/"" rel=""nofollow"">Indiatides</a>",Anna University revaluation UG and PG results declared at https://t.co/fgXxEVkCFA | Website not responding - Indiat… https://t.co/pd5YkKxUWE,Tue Mar 12 15:03:36 +0000 2019,1105484491806527488,"Chennai, India",india_tides
96,A student,0,False,http://pbs.twimg.com/profile_images/867268629573849089/RqbBXBNn_normal.jpg,False,Anish Gupta,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@arunjaitley This is such a disgrace. 
Selfish people like Mr. Rahul Gandhi do anything for their political profit… https://t.co/qHnuFA2ALU",Tue Mar 12 15:03:36 +0000 2019,1105484491793952769,,AnishGupta16892
97,,174,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,Pradeep Joshi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @dhruv_rathee: Currently Trending Videos on Youtube India 🇮🇳 

#4 - Kunal Kamra
#22 - Lallantop 
#29 - Ravish Kumar
#33 - Varun Grover…",Tue Mar 12 15:03:36 +0000 2019,1105484491647303681,"मुंबई, भारत",Pradeep4779
98,CEng.(Institution of Engineers India); PV Systems Expert; Python enthusiast,16,False,http://pbs.twimg.com/profile_images/829295726240866305/PrPoDIpx_normal.jpg,False,Mrinal Roy,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@tim_cook why do hr agents keep high-flying degrees as pre-requisites? Either @tim_cook or they must be wrong.
Indi… https://t.co/sBUl1m4bpt",Tue Mar 12 15:03:35 +0000 2019,1105484489961005057,,mrinalroy
99,A proud Indian. National interest supreme.,339,False,http://pbs.twimg.com/profile_images/922737888252411904/HaRJnVMD_normal.jpg,False,Ashwani Chowdhry,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AskAnshul: Intelligence agencies have raised concerns over the danger posed by the spread of Wahhabism or Salafism in India, especially…",Tue Mar 12 15:03:35 +0000 2019,1105484489780793345,"Lucknow, India",AshwaniChowdhry
